   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -707.532       8.42869       16.8567       8.42869       16.8567       0.00000       0.00000       25.2854       8.42869       8.42869       8.42799       0.00000       0.00000       0.00000    
  0.109648E-03  -661.686       7.87216       15.7436       7.87216       15.7436       0.00000       0.00000       23.6157       7.87216       7.87216       7.87142       0.00000       0.00000       0.00000    
  0.120226E-03  -620.423       7.37090       14.7410       7.37090       14.7410       0.00000       0.00000       22.1119       7.37090       7.37090       7.37012       0.00000       0.00000       0.00000    
  0.131825E-03  -580.866       6.89023       13.7796       6.89023       13.7796       0.00000       0.00000       20.6699       6.89023       6.89024       6.88941       0.00000       0.00000       0.00000    
  0.144543E-03  -543.753       6.43905       12.8772       6.43905       12.8772       0.00000       0.00000       19.3163       6.43905       6.43906       6.43818       0.00000       0.00000       0.00000    
  0.158489E-03  -509.675       6.02451       12.0481       6.02451       12.0481       0.00000       0.00000       18.0726       6.02451       6.02451       6.02359       0.00000       0.00000       0.00000    
  0.173779E-03  -477.016       5.62710       11.2532       5.62710       11.2532       0.00000       0.00000       16.8804       5.62710       5.62711       5.62614       0.00000       0.00000       0.00000    
  0.190545E-03  -446.977       5.26135       10.5217       5.26135       10.5217       0.00000       0.00000       15.7830       5.26135       5.26135       5.26033       0.00000       0.00000       0.00000    
  0.208928E-03  -418.802       4.91813       9.83519       4.91813       9.83519       0.00000       0.00000       14.7533       4.91813       4.91814       4.91706       0.00000       0.00000       0.00000    
  0.229085E-03  -391.831       4.58947       9.17782       4.58947       9.17782       0.00000       0.00000       13.7673       4.58947       4.58948       4.58834       0.00000       0.00000       0.00000    
  0.251186E-03  -367.494       4.29271       8.58422       4.29271       8.58422       0.00000       0.00000       12.8769       4.29271       4.29271       4.29151       0.00000       0.00000       0.00000    
  0.275420E-03  -344.189       4.00846       8.01567       4.00846       8.01567       0.00000       0.00000       12.0241       4.00846       4.00847       4.00720       0.00000       0.00000       0.00000    
  0.301992E-03  -322.273       3.74105       7.48078       3.74105       7.48078       0.00000       0.00000       11.2218       3.74105       3.74106       3.73972       0.00000       0.00000       0.00000    
  0.331127E-03  -302.161       3.49554       6.98968       3.49554       6.98968       0.00000       0.00000       10.4852       3.49554       3.49555       3.49414       0.00000       0.00000       0.00000    
  0.363073E-03  -282.872       3.26005       6.51863       3.26005       6.51863       0.00000       0.00000       9.77868       3.26005       3.26006       3.25857       0.00000       0.00000       0.00000    
  0.398101E-03  -265.079       3.04277       6.08400       3.04277       6.08400       0.00000       0.00000       9.12677       3.04277       3.04278       3.04122       0.00000       0.00000       0.00000    
  0.436509E-03  -248.398       2.83908       5.67653       2.83908       5.67653       0.00000       0.00000       8.51561       2.83908       2.83909       2.83744       0.00000       0.00000       0.00000    
  0.478622E-03  -232.416       2.64391       5.28611       2.64391       5.28611       0.00000       0.00000       7.93002       2.64391       2.64393       2.64219       0.00000       0.00000       0.00000    
  0.524798E-03  -217.943       2.46723       4.93265       2.46723       4.93265       0.00000       0.00000       7.39988       2.46723       2.46724       2.46541       0.00000       0.00000       0.00000    
