   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -3538.00       63.6894       127.378       63.6894       127.378       0.00000       0.00000       191.068       63.6894       63.6894       63.6890       0.00000       0.00000       0.00000    
  0.109648E-03  -3263.93       58.5691       117.138       58.5691       117.138       0.00000       0.00000       175.707       58.5691       58.5692       58.5687       0.00000       0.00000       0.00000    
  0.120226E-03  -3022.08       54.0508       108.101       54.0508       108.101       0.00000       0.00000       162.152       54.0508       54.0508       54.0503       0.00000       0.00000       0.00000    
  0.131825E-03  -2791.98       49.7523       99.5041       49.7523       99.5041       0.00000       0.00000       149.256       49.7523       49.7523       49.7518       0.00000       0.00000       0.00000    
  0.144543E-03  -2578.71       45.7685       91.5364       45.7685       91.5364       0.00000       0.00000       137.305       45.7685       45.7685       45.7680       0.00000       0.00000       0.00000    
  0.158489E-03  -2385.94       42.1681       84.3356       42.1681       84.3356       0.00000       0.00000       126.504       42.1681       42.1681       42.1675       0.00000       0.00000       0.00000    
  0.173779E-03  -2202.65       38.7453       77.4901       38.7453       77.4901       0.00000       0.00000       116.235       38.7453       38.7453       38.7447       0.00000       0.00000       0.00000    
  0.190545E-03  -2036.69       35.6472       71.2938       35.6472       71.2938       0.00000       0.00000       106.941       35.6472       35.6472       35.6466       0.00000       0.00000       0.00000    
  0.208928E-03  -1882.82       32.7759       65.5511       32.7759       65.5511       0.00000       0.00000       98.3270       32.7759       32.7759       32.7752       0.00000       0.00000       0.00000    
  0.229085E-03  -1736.76       30.0509       60.1011       30.0509       60.1011       0.00000       0.00000       90.1519       30.0509       30.0509       30.0502       0.00000       0.00000       0.00000    
  0.251186E-03  -1607.44       27.6404       55.2801       27.6404       55.2801       0.00000       0.00000       82.9205       27.6404       27.6404       27.6397       0.00000       0.00000       0.00000    
  0.275420E-03  -1484.55       25.3511       50.7014       25.3511       50.7014       0.00000       0.00000       76.0525       25.3511       25.3511       25.3503       0.00000       0.00000       0.00000    
  0.301992E-03  -1370.31       23.2246       46.4484       23.2246       46.4484       0.00000       0.00000       69.6730       23.2246       23.2246       23.2238       0.00000       0.00000       0.00000    
  0.331127E-03  -1267.08       21.3059       42.6110       21.3059       42.6110       0.00000       0.00000       63.9169       21.3059       21.3059       21.3050       0.00000       0.00000       0.00000    
  0.363073E-03  -1168.83       19.4813       38.9617       19.4813       38.9617       0.00000       0.00000       58.4429       19.4813       19.4813       19.4803       0.00000       0.00000       0.00000    
  0.398101E-03  -1079.54       17.8262       35.6514       17.8262       35.6514       0.00000       0.00000       53.4776       17.8262       17.8262       17.8252       0.00000       0.00000       0.00000    
  0.436509E-03  -996.769       16.2951       32.5892       16.2951       32.5892       0.00000       0.00000       48.8843       16.2951       16.2951       16.2941       0.00000       0.00000       0.00000    
  0.478622E-03  -918.090       14.8418       29.6825       14.8418       29.6825       0.00000       0.00000       44.5242       14.8418       14.8418       14.8407       0.00000       0.00000       0.00000    
  0.524798E-03  -848.089       13.5541       27.1070       13.5541       27.1070       0.00000       0.00000       40.6611       13.5541       13.5541       13.5529       0.00000       0.00000       0.00000    
  0.575429E-03  -781.599       12.3337       24.6662       12.3337       24.6662       0.00000       0.00000       36.9999       12.3337       12.3338       12.3325       0.00000       0.00000       0.00000    
  0.630945E-03  -719.542       11.1984       22.3955       11.1984       22.3955       0.00000       0.00000       33.5939       11.1984       11.1984       11.1971       0.00000       0.00000       0.00000    
  0.691816E-03  -663.391       10.1770       20.3527       10.1770       20.3527       0.00000       0.00000       30.5298       10.1770       10.1771       10.1756       0.00000       0.00000       0.00000    
  0.758561E-03  -609.850       9.20626       18.4111       9.20626       18.4111       0.00000       0.00000       27.6174       9.20626       9.20633       9.20477       0.00000       0.00000       0.00000    
  0.831745E-03  -560.935       8.32537       16.6492       8.32537       16.6492       0.00000       0.00000       24.9746       8.32537       8.32545       8.32379       0.00000       0.00000       0.00000    
  0.911989E-03  -515.552       7.51359       15.0256       7.51359       15.0256       0.00000       0.00000       22.5392       7.51359       7.51367       7.51191       0.00000       0.00000       0.00000    
  0.999975E-03  -472.318       6.74394       13.4862       6.74394       13.4862       0.00000       0.00000       20.2301       6.74394       6.74403       6.74216       0.00000       0.00000       0.00000    
  0.109645E-02  -433.608       6.06352       12.1253       6.06352       12.1253       0.00000       0.00000       18.1888       6.06352       6.06362       6.06163       0.00000       0.00000       0.00000    
  0.120223E-02  -396.830       5.42153       10.8412       5.42153       10.8412       0.00000       0.00000       16.2627       5.42153       5.42165       5.41953       0.00000       0.00000       0.00000    
  0.131822E-02  -362.345       4.82516       9.64832       4.82516       9.64832       0.00000       0.00000       14.4735       4.82516       4.82528       4.82303       0.00000       0.00000       0.00000    
  0.144540E-02  -331.079       4.29332       8.58453       4.29332       8.58453       0.00000       0.00000       12.8779       4.29332       4.29346       4.29107       0.00000       0.00000       0.00000    
  0.158485E-02  -301.212       3.78964       7.57705       3.78964       7.57705       0.00000       0.00000       11.3667       3.78964       3.78979       3.78725       0.00000       0.00000       0.00000    
  0.173775E-02  -273.791       3.33538       6.66839       3.33538       6.66839       0.00000       0.00000       10.0038       3.33538       3.33554       3.33284       0.00000       0.00000       0.00000    
  0.190540E-02  -248.346       2.92121       5.83990       2.92121       5.83990       0.00000       0.00000       8.76111       2.92121       2.92139       2.91852       0.00000       0.00000       0.00000    
  0.208923E-02  -224.073       2.53085       5.05905       2.53085       5.05905       0.00000       0.00000       7.58990       2.53085       2.53105       2.52800       0.00000       0.00000       0.00000    
  0.229079E-02  -202.271       2.19075       4.37869       2.19075       4.37869       0.00000       0.00000       6.56944       2.19075       2.19097       2.18772       0.00000       0.00000       0.00000    
  0.251180E-02  -181.600       1.87362       3.74427       1.87362       3.74427       0.00000       0.00000       5.61789       1.87362       1.87386       1.87041       0.00000       0.00000       0.00000    
  0.275413E-02  -162.191       1.58212       3.16109       1.58212       3.16109       0.00000       0.00000       4.74320       1.58212       1.58238       1.57871       0.00000       0.00000       0.00000    
  0.301984E-02  -144.685       1.32894       2.65455       1.32894       2.65455       0.00000       0.00000       3.98349       1.32894       1.32923       1.32532       0.00000       0.00000       0.00000    
  0.331118E-02  -128.004       1.09219       2.18086       1.09219       2.18086       0.00000       0.00000       3.27306       1.09219       1.09251       1.08836       0.00000       0.00000       0.00000    
  0.363064E-02  -112.756      0.883871       1.76401      0.883871       1.76401       0.00000       0.00000       2.64788      0.883871      0.884213      0.879799       0.00000       0.00000       0.00000    
  0.398091E-02  -98.7583      0.699735       1.39552      0.699735       1.39552       0.00000       0.00000       2.09525      0.699735      0.700108      0.695411       0.00000       0.00000       0.00000    
  0.436498E-02  -85.4890      0.529582       1.05499      0.529582       1.05499       0.00000       0.00000       1.58457      0.529582      0.529988      0.524997       0.00000       0.00000       0.00000    
  0.478610E-02  -73.7796      0.388535      0.772642      0.388535      0.772642       0.00000       0.00000       1.16118      0.388535      0.388978      0.383664       0.00000       0.00000       0.00000    
