   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -530.171       10.7468       21.4123       10.7468       21.4123       0.00000       0.00000       32.1592       10.7468       10.7468       10.6655       0.00000       0.00000       0.00000    
  0.109648E-03  -497.344       10.0989       20.1164       10.0989       20.1164       0.00000       0.00000       30.2153       10.0989       10.0988       10.0175       0.00000       0.00000       0.00000    
  0.120226E-03  -467.631       9.51238       18.9433       9.51238       18.9433       0.00000       0.00000       28.4557       9.51238       9.51234       9.43100       0.00000       0.00000       0.00000    
  0.131825E-03  -439.086       8.94893       17.8164       8.94893       17.8164       0.00000       0.00000       26.7654       8.94893       8.94889       8.86753       0.00000       0.00000       0.00000    
  0.144543E-03  -412.213       8.41849       16.7555       8.41849       16.7555       0.00000       0.00000       25.1740       8.41849       8.41844       8.33706       0.00000       0.00000       0.00000    
  0.158489E-03  -387.433       7.92934       15.7772       7.92934       15.7772       0.00000       0.00000       23.7065       7.92934       7.92928       7.84789       0.00000       0.00000       0.00000    
  0.173779E-03  -363.635       7.45957       14.8376       7.45957       14.8376       0.00000       0.00000       22.2972       7.45957       7.45951       7.37810       0.00000       0.00000       0.00000    
  0.190545E-03  -341.656       7.02571       13.9698       7.02571       13.9698       0.00000       0.00000       20.9955       7.02571       7.02564       6.94420       0.00000       0.00000       0.00000    
  0.208928E-03  -320.982       6.61759       13.1536       6.61759       13.1536       0.00000       0.00000       19.7712       6.61759       6.61751       6.53606       0.00000       0.00000       0.00000    
  0.229085E-03  -301.151       6.22610       12.3706       6.22610       12.3706       0.00000       0.00000       18.5967       6.22610       6.22601       6.14454       0.00000       0.00000       0.00000    
  0.251186E-03  -283.177       5.87127       11.6608       5.87127       11.6608       0.00000       0.00000       17.5321       5.87127       5.87116       5.78968       0.00000       0.00000       0.00000    
  0.275420E-03  -265.937       5.53092       10.9801       5.53092       10.9801       0.00000       0.00000       16.5110       5.53092       5.53080       5.44930       0.00000       0.00000       0.00000    
  0.301992E-03  -249.684       5.21004       10.3383       5.21004       10.3383       0.00000       0.00000       15.5483       5.21004       5.20991       5.12839       0.00000       0.00000       0.00000    
  0.331127E-03  -234.723       4.91465       9.74747       4.91465       9.74747       0.00000       0.00000       14.6621       4.91465       4.91450       4.83296       0.00000       0.00000       0.00000    
  0.363073E-03  -220.355       4.63095       9.18002       4.63095       9.18002       0.00000       0.00000       13.8110       4.63095       4.63079       4.54924       0.00000       0.00000       0.00000    
  0.398101E-03  -207.068       4.36857       8.65521       4.36857       8.65521       0.00000       0.00000       13.0238       4.36857       4.36839       4.28682       0.00000       0.00000       0.00000    
