   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -1112.72       49.8896       99.7792       49.8896       99.7792       0.00000       0.00000       149.669       49.8896       49.8896       49.8896       0.00000       0.00000       0.00000    
  0.109648E-03  -1032.60       46.3740       92.7480       46.3740       92.7480       0.00000       0.00000       139.122       46.3740       46.3740       46.3740       0.00000       0.00000       0.00000    
  0.120226E-03  -961.061       43.2373       86.4746       43.2373       86.4746       0.00000       0.00000       129.712       43.2373       43.2373       43.2373       0.00000       0.00000       0.00000    
  0.131825E-03  -892.704       40.2407       80.4814       40.2407       80.4814       0.00000       0.00000       120.722       40.2407       40.2407       40.2407       0.00000       0.00000       0.00000    
  0.144543E-03  -828.896       37.4447       74.8895       37.4447       74.8895       0.00000       0.00000       112.334       37.4447       37.4447       37.4447       0.00000       0.00000       0.00000    
  0.158489E-03  -770.702       34.8963       69.7926       34.8963       69.7926       0.00000       0.00000       104.689       34.8963       34.8963       34.8963       0.00000       0.00000       0.00000    
  0.173779E-03  -715.126       32.4632       64.9265       32.4632       64.9265       0.00000       0.00000       97.3897       32.4632       32.4632       32.4632       0.00000       0.00000       0.00000    
  0.190545E-03  -664.366       30.2424       60.4848       30.2424       60.4848       0.00000       0.00000       90.7272       30.2424       30.2424       30.2424       0.00000       0.00000       0.00000    
  0.208928E-03  -617.015       28.1716       56.3433       28.1716       56.3433       0.00000       0.00000       84.5150       28.1716       28.1717       28.1717       0.00000       0.00000       0.00000    
  0.229085E-03  -571.864       26.1978       52.3956       26.1978       52.3956       0.00000       0.00000       78.5934       26.1978       26.1978       26.1978       0.00000       0.00000       0.00000    
  0.251186E-03  -531.501       24.4347       48.8694       24.4347       48.8694       0.00000       0.00000       73.3041       24.4347       24.4347       24.4347       0.00000       0.00000       0.00000    
  0.275420E-03  -493.007       22.7537       45.5074       22.7537       45.5074       0.00000       0.00000       68.2611       22.7537       22.7537       22.7537       0.00000       0.00000       0.00000    
