   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -439.249       15.8933       31.7865       15.8933       31.7865       0.00000       0.00000       47.6798       15.8933       15.8933       15.8932       0.00000       0.00000       0.00000    
  0.109648E-03  -409.687       14.7935       29.5870       14.7935       29.5870       0.00000       0.00000       44.3805       14.7935       14.7935       14.7934       0.00000       0.00000       0.00000    
  0.120226E-03  -383.189       13.8078       27.6155       13.8078       27.6155       0.00000       0.00000       41.4233       13.8078       13.8078       13.8077       0.00000       0.00000       0.00000    
  0.131825E-03  -357.831       12.8644       25.7288       12.8644       25.7288       0.00000       0.00000       38.5932       12.8644       12.8644       12.8643       0.00000       0.00000       0.00000    
  0.144543E-03  -334.105       11.9817       23.9634       11.9817       23.9634       0.00000       0.00000       35.9451       11.9817       11.9818       11.9816       0.00000       0.00000       0.00000    
  0.158489E-03  -312.405       11.1743       22.3485       11.1743       22.3485       0.00000       0.00000       33.5228       11.1743       11.1743       11.1742       0.00000       0.00000       0.00000    
  0.173779E-03  -291.653       10.4020       20.8040       10.4020       20.8040       0.00000       0.00000       31.2060       10.4020       10.4021       10.4019       0.00000       0.00000       0.00000    
  0.190545E-03  -272.648       9.69455       19.3890       9.69455       19.3890       0.00000       0.00000       29.0836       9.69455       9.69460       9.69443       0.00000       0.00000       0.00000    
  0.208928E-03  -254.886       9.03313       18.0662       9.03313       18.0662       0.00000       0.00000       27.0993       9.03313       9.03318       9.03300       0.00000       0.00000       0.00000    
  0.229085E-03  -237.927       8.40144       16.8028       8.40144       16.8028       0.00000       0.00000       25.2042       8.40144       8.40150       8.40131       0.00000       0.00000       0.00000    
  0.251186E-03  -222.723       7.83469       15.6693       7.83469       15.6693       0.00000       0.00000       23.5040       7.83469       7.83475       7.83455       0.00000       0.00000       0.00000    
  0.275420E-03  -208.207       7.29335       14.5866       7.29335       14.5866       0.00000       0.00000       21.8800       7.29335       7.29342       7.29320       0.00000       0.00000       0.00000    
  0.301992E-03  -194.615       6.78618       13.5723       6.78618       13.5723       0.00000       0.00000       20.3584       6.78618       6.78625       6.78601       0.00000       0.00000       0.00000    
  0.331127E-03  -182.225       6.32327       12.6465       6.32327       12.6465       0.00000       0.00000       18.9697       6.32327       6.32335       6.32310       0.00000       0.00000       0.00000    
  0.363073E-03  -170.383       5.88058       11.7611       5.88058       11.7611       0.00000       0.00000       17.6416       5.88058       5.88067       5.88039       0.00000       0.00000       0.00000    
  0.398101E-03  -159.536       5.47455       10.9490       5.47455       10.9490       0.00000       0.00000       16.4236       5.47455       5.47465       5.47435       0.00000       0.00000       0.00000    
  0.436509E-03  -149.431       5.09572       10.1913       5.09572       10.1913       0.00000       0.00000       15.2871       5.09572       5.09584       5.09551       0.00000       0.00000       0.00000    
  0.478622E-03  -139.790       4.73397       9.46783       4.73397       9.46783       0.00000       0.00000       14.2018       4.73397       4.73409       4.73374       0.00000       0.00000       0.00000    
  0.524798E-03  -131.152       4.40901       8.81791       4.40901       8.81791       0.00000       0.00000       13.2269       4.40901       4.40915       4.40877       0.00000       0.00000       0.00000    
  0.575429E-03  -122.929       4.09919       8.19827       4.09919       8.19827       0.00000       0.00000       12.2975       4.09919       4.09934       4.09893       0.00000       0.00000       0.00000    
  0.630945E-03  -115.227       3.80849       7.61687       3.80849       7.61687       0.00000       0.00000       11.4254       3.80849       3.80865       3.80821       0.00000       0.00000       0.00000    
  0.691816E-03  -108.236       3.54367       7.08724       3.54367       7.08724       0.00000       0.00000       10.6309       3.54367       3.54386       3.54338       0.00000       0.00000       0.00000    
  0.758561E-03  -101.561       3.29040       6.58070       3.29040       6.58070       0.00000       0.00000       9.87109       3.29040       3.29061       3.29009       0.00000       0.00000       0.00000    
  0.831745E-03  -95.4511       3.05772       6.11533       3.05772       6.11533       0.00000       0.00000       9.17305       3.05772       3.05795       3.05739       0.00000       0.00000       0.00000    
  0.911989E-03  -89.7805       2.84097       5.68184       2.84097       5.68184       0.00000       0.00000       8.52281       2.84097       2.84122       2.84062       0.00000       0.00000       0.00000    
  0.999975E-03  -84.3777       2.63394       5.26779       2.63394       5.26779       0.00000       0.00000       7.90173       2.63394       2.63422       2.63357       0.00000       0.00000       0.00000    
  0.109645E-02  -79.5455       2.44757       4.89506       2.44757       4.89506       0.00000       0.00000       7.34264       2.44757       2.44789       2.44718       0.00000       0.00000       0.00000    
  0.120223E-02  -74.9603       2.27012       4.54017       2.27012       4.54017       0.00000       0.00000       6.81029       2.27012       2.27047       2.26970       0.00000       0.00000       0.00000    
  0.131822E-02  -70.6681       2.10325       4.20643       2.10325       4.20643       0.00000       0.00000       6.30968       2.10325       2.10363       2.10280       0.00000       0.00000       0.00000    
  0.144540E-02  -66.7914       1.95133       3.90261       1.95133       3.90261       0.00000       0.00000       5.85394       1.95133       1.95176       1.95086       0.00000       0.00000       0.00000    
  0.158485E-02  -63.0957       1.80592       3.61180       1.80592       3.61180       0.00000       0.00000       5.41772       1.80592       1.80639       1.80541       0.00000       0.00000       0.00000    
  0.173775E-02  -59.7178       1.67191       3.34380       1.67191       3.34380       0.00000       0.00000       5.01571       1.67191       1.67243       1.67137       0.00000       0.00000       0.00000    
  0.190540E-02  -56.5965       1.54708       3.09417       1.54708       3.09417       0.00000       0.00000       4.64125       1.54708       1.54766       1.54651       0.00000       0.00000       0.00000    
