   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -4370.83      0.947603E-01  0.157950      0.947603E-01  0.157950       0.00000       0.00000      0.252710      0.947603E-01  0.947697E-01  0.631798E-01   0.00000       0.00000       0.00000    
  0.109648E-03  -3954.51      0.954600E-01  0.159117      0.954600E-01  0.159117       0.00000       0.00000      0.254577      0.954600E-01  0.954703E-01  0.636469E-01   0.00000       0.00000       0.00000    
  0.120226E-03  -3595.74      0.961679E-01  0.160299      0.961679E-01  0.160299       0.00000       0.00000      0.256467      0.961679E-01  0.961794E-01  0.641196E-01   0.00000       0.00000       0.00000    
  0.131825E-03  -3257.55      0.968792E-01  0.161486      0.968792E-01  0.161486       0.00000       0.00000      0.258366      0.968792E-01  0.968919E-01  0.645946E-01   0.00000       0.00000       0.00000    
  0.144543E-03  -2948.83      0.975955E-01  0.162682      0.975955E-01  0.162682       0.00000       0.00000      0.260278      0.975955E-01  0.976095E-01  0.650730E-01   0.00000       0.00000       0.00000    
  0.158489E-03  -2675.23      0.983187E-01  0.163890      0.983187E-01  0.163890       0.00000       0.00000      0.262209      0.983187E-01  0.983342E-01  0.655561E-01   0.00000       0.00000       0.00000    
  0.173779E-03  -2417.74      0.990453E-01  0.165104      0.990453E-01  0.165104       0.00000       0.00000      0.264149      0.990453E-01  0.990624E-01  0.660416E-01   0.00000       0.00000       0.00000    
  0.190545E-03  -2189.36      0.997786E-01  0.166329      0.997786E-01  0.166329       0.00000       0.00000      0.266108      0.997786E-01  0.997975E-01  0.665317E-01   0.00000       0.00000       0.00000    
  0.208928E-03  -1980.88      0.100517      0.167564      0.100517      0.167564       0.00000       0.00000      0.268081      0.100517      0.100538      0.670255E-01   0.00000       0.00000       0.00000    
  0.229085E-03  -1785.21      0.101260      0.168804      0.101260      0.168804       0.00000       0.00000      0.270064      0.101260      0.101283      0.675217E-01   0.00000       0.00000       0.00000    
  0.251186E-03  -1616.54      0.102010      0.170060      0.102010      0.170060       0.00000       0.00000      0.272070      0.102010      0.102036      0.680239E-01   0.00000       0.00000       0.00000    
  0.275420E-03  -1458.03      0.102765      0.171322      0.102765      0.171322       0.00000       0.00000      0.274087      0.102765      0.102793      0.685288E-01   0.00000       0.00000       0.00000    
  0.301992E-03  -1313.18      0.103525      0.172593      0.103525      0.172593       0.00000       0.00000      0.276118      0.103525      0.103556      0.690372E-01   0.00000       0.00000       0.00000    
  0.331127E-03  -1185.35      0.104292      0.173877      0.104292      0.173877       0.00000       0.00000      0.278169      0.104292      0.104326      0.695508E-01   0.00000       0.00000       0.00000    
  0.363073E-03  -1065.14      0.105063      0.175168      0.105063      0.175168       0.00000       0.00000      0.280230      0.105063      0.105101      0.700671E-01   0.00000       0.00000       0.00000    
  0.398101E-03  -958.497      0.105841      0.176471      0.105841      0.176471       0.00000       0.00000      0.282311      0.105841      0.105882      0.705882E-01   0.00000       0.00000       0.00000    
  0.436509E-03  -861.541      0.106624      0.177784      0.106624      0.177784       0.00000       0.00000      0.284408      0.106624      0.106670      0.711136E-01   0.00000       0.00000       0.00000    
  0.478622E-03  -770.642      0.107412      0.179104      0.107412      0.179104       0.00000       0.00000      0.286516      0.107412      0.107463      0.716417E-01   0.00000       0.00000       0.00000    
  0.524798E-03  -692.354      0.108208      0.180441      0.108208      0.180441       0.00000       0.00000      0.288648      0.108208      0.108264      0.721762E-01   0.00000       0.00000       0.00000    
  0.575429E-03  -619.061      0.109008      0.181785      0.109008      0.181785       0.00000       0.00000      0.290793      0.109008      0.109071      0.727138E-01   0.00000       0.00000       0.00000    
  0.630945E-03  -552.073      0.109814      0.183138      0.109814      0.183138       0.00000       0.00000      0.292952      0.109814      0.109883      0.732553E-01   0.00000       0.00000       0.00000    
  0.691816E-03  -493.306      0.110628      0.184507      0.110628      0.184507       0.00000       0.00000      0.295135      0.110628      0.110704      0.738028E-01   0.00000       0.00000       0.00000    
  0.758561E-03  -438.126      0.111446      0.185883      0.111446      0.185883       0.00000       0.00000      0.297329      0.111446      0.111530      0.743531E-01   0.00000       0.00000       0.00000    
