   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -994.978       38.3080       76.6161       38.3080       76.6161       0.00000       0.00000       114.924       38.3080       38.3080       38.3081       0.00000       0.00000       0.00000    
  0.109648E-03  -924.779       35.6590       71.3181       35.6590       71.3181       0.00000       0.00000       106.977       35.6590       35.6590       35.6590       0.00000       0.00000       0.00000    
  0.120226E-03  -862.032       33.2914       66.5828       33.2914       66.5828       0.00000       0.00000       99.8742       33.2914       33.2914       33.2914       0.00000       0.00000       0.00000    
  0.131825E-03  -802.046       31.0280       62.0560       31.0280       62.0560       0.00000       0.00000       93.0840       31.0280       31.0280       31.0280       0.00000       0.00000       0.00000    
  0.144543E-03  -746.013       28.9139       57.8277       28.9139       57.8277       0.00000       0.00000       86.7416       28.9139       28.9139       28.9139       0.00000       0.00000       0.00000    
  0.158489E-03  -694.867       26.9841       53.9682       26.9841       53.9682       0.00000       0.00000       80.9523       26.9841       26.9841       26.9841       0.00000       0.00000       0.00000    
  0.173779E-03  -646.001       25.1404       50.2808       25.1404       50.2808       0.00000       0.00000       75.4212       25.1404       25.1404       25.1404       0.00000       0.00000       0.00000    
  0.190545E-03  -601.334       23.4550       46.9100       23.4550       46.9100       0.00000       0.00000       70.3650       23.4550       23.4550       23.4550       0.00000       0.00000       0.00000    
  0.208928E-03  -559.642       21.8818       43.7635       21.8818       43.7635       0.00000       0.00000       65.6453       21.8818       21.8818       21.8818       0.00000       0.00000       0.00000    
  0.229085E-03  -519.870       20.3809       40.7619       20.3809       40.7619       0.00000       0.00000       61.1428       20.3809       20.3809       20.3809       0.00000       0.00000       0.00000    
  0.251186E-03  -484.285       19.0378       38.0756       19.0378       38.0756       0.00000       0.00000       57.1133       19.0378       19.0378       19.0378       0.00000       0.00000       0.00000    
  0.275420E-03  -450.334       17.7562       35.5123       17.7562       35.5123       0.00000       0.00000       53.2685       17.7562       17.7562       17.7562       0.00000       0.00000       0.00000    
  0.301992E-03  -418.580       16.5573       33.1145       16.5573       33.1145       0.00000       0.00000       49.6718       16.5573       16.5573       16.5573       0.00000       0.00000       0.00000    
  0.331127E-03  -389.670       15.4653       30.9306       15.4653       30.9306       0.00000       0.00000       46.3959       15.4653       15.4653       15.4653       0.00000       0.00000       0.00000    
  0.363073E-03  -362.056       14.4221       28.8441       14.4221       28.8441       0.00000       0.00000       43.2662       14.4221       14.4221       14.4221       0.00000       0.00000       0.00000    
  0.398101E-03  -336.793       13.4672       26.9343       13.4672       26.9343       0.00000       0.00000       40.4015       13.4672       13.4672       13.4672       0.00000       0.00000       0.00000    
  0.436509E-03  -313.271       12.5777       25.1554       12.5777       25.1554       0.00000       0.00000       37.7330       12.5777       12.5777       12.5777       0.00000       0.00000       0.00000    
  0.478622E-03  -290.843       11.7292       23.4584       11.7292       23.4584       0.00000       0.00000       35.1876       11.7292       11.7292       11.7292       0.00000       0.00000       0.00000    
  0.524798E-03  -270.770       10.9690       21.9381       10.9690       21.9381       0.00000       0.00000       32.9072       10.9690       10.9691       10.9691       0.00000       0.00000       0.00000    
  0.575429E-03  -251.665       10.2452       20.4904       10.2452       20.4904       0.00000       0.00000       30.7355       10.2452       10.2452       10.2452       0.00000       0.00000       0.00000    
  0.630945E-03  -233.783       9.56708       19.1342       9.56708       19.1342       0.00000       0.00000       28.7013       9.56708       9.56709       9.56710       0.00000       0.00000       0.00000    
  0.691816E-03  -217.558       8.95096       17.9019       8.95096       17.9019       0.00000       0.00000       26.8529       8.95096       8.95096       8.95098       0.00000       0.00000       0.00000    
  0.758561E-03  -202.071       8.36244       16.7249       8.36244       16.7249       0.00000       0.00000       25.0874       8.36244       8.36245       8.36247       0.00000       0.00000       0.00000    
  0.831745E-03  -187.904       7.82317       15.6464       7.82317       15.6464       0.00000       0.00000       23.4696       7.82317       7.82318       7.82321       0.00000       0.00000       0.00000    
  0.911989E-03  -174.758       7.32200       14.6440       7.32200       14.6440       0.00000       0.00000       21.9660       7.32200       7.32201       7.32204       0.00000       0.00000       0.00000    
  0.999975E-03  -162.235       6.84407       13.6882       6.84407       13.6882       0.00000       0.00000       20.5323       6.84407       6.84408       6.84411       0.00000       0.00000       0.00000    
  0.109645E-02  -151.041       6.41556       12.8312       6.41556       12.8312       0.00000       0.00000       19.2467       6.41556       6.41557       6.41560       0.00000       0.00000       0.00000    
  0.120223E-02  -140.421       6.00840       12.0169       6.00840       12.0169       0.00000       0.00000       18.0253       6.00840       6.00841       6.00845       0.00000       0.00000       0.00000    
  0.131822E-02  -130.484       5.62656       11.2532       5.62656       11.2532       0.00000       0.00000       16.8798       5.62656       5.62658       5.62662       0.00000       0.00000       0.00000    
  0.144540E-02  -121.514       5.28061       10.5613       5.28061       10.5613       0.00000       0.00000       15.8419       5.28061       5.28062       5.28067       0.00000       0.00000       0.00000    
  0.158485E-02  -112.967       4.95028       9.90065       4.95028       9.90065       0.00000       0.00000       14.8509       4.95028       4.95030       4.95035       0.00000       0.00000       0.00000    
  0.173775E-02  -105.162       4.64739       9.29486       4.64739       9.29486       0.00000       0.00000       13.9422       4.64739       4.64740       4.64746       0.00000       0.00000       0.00000    
  0.190540E-02  -97.9582       4.36666       8.73342       4.36666       8.73342       0.00000       0.00000       13.1001       4.36666       4.36668       4.36674       0.00000       0.00000       0.00000    
  0.208923E-02  -91.1116       4.09910       8.19831       4.09910       8.19831       0.00000       0.00000       12.2974       4.09910       4.09912       4.09919       0.00000       0.00000       0.00000    
  0.229079E-02  -85.0167       3.85918       7.71848       3.85918       7.71848       0.00000       0.00000       11.5777       3.85918       3.85920       3.85928       0.00000       0.00000       0.00000    
  0.251180E-02  -79.2643       3.63180       7.26373       3.63180       7.26373       0.00000       0.00000       10.8955       3.63180       3.63183       3.63191       0.00000       0.00000       0.00000    
  0.275413E-02  -73.8936       3.41841       6.83697       3.41841       6.83697       0.00000       0.00000       10.2554       3.41841       3.41844       3.41853       0.00000       0.00000       0.00000    
  0.301984E-02  -69.0915       3.22578       6.45173       3.22578       6.45173       0.00000       0.00000       9.67751       3.22578       3.22582       3.22591       0.00000       0.00000       0.00000    
  0.331118E-02  -64.5324       3.04200       6.08417       3.04200       6.08417       0.00000       0.00000       9.12617       3.04200       3.04203       3.04214       0.00000       0.00000       0.00000    
  0.363064E-02  -60.3930       2.87347       5.74713       2.87347       5.74713       0.00000       0.00000       8.62060       2.87347       2.87351       2.87363       0.00000       0.00000       0.00000    
  0.398091E-02  -56.6098       2.71782       5.43587       2.71782       5.43587       0.00000       0.00000       8.15369       2.71782       2.71787       2.71800       0.00000       0.00000       0.00000    
  0.436498E-02  -53.0327       2.56962       5.13948       2.56962       5.13948       0.00000       0.00000       7.70911       2.56962       2.56967       2.56981       0.00000       0.00000       0.00000    
  0.478610E-02  -49.8846       2.43684       4.87395       2.43684       4.87395       0.00000       0.00000       7.31080       2.43684       2.43690       2.43705       0.00000       0.00000       0.00000    
  0.524785E-02  -46.9422       2.31141       4.62311       2.31141       4.62311       0.00000       0.00000       6.93451       2.31141       2.31147       2.31164       0.00000       0.00000       0.00000    
  0.575415E-02  -44.2155       2.19367       4.38765       2.19367       4.38765       0.00000       0.00000       6.58132       2.19367       2.19373       2.19392       0.00000       0.00000       0.00000    
  0.630929E-02  -41.8267       2.08786       4.17608       2.08786       4.17608       0.00000       0.00000       6.26395       2.08786       2.08794       2.08814       0.00000       0.00000       0.00000    
  0.691799E-02  -39.5795       1.98703       3.97445       1.98703       3.97445       0.00000       0.00000       5.96148       1.98703       1.98711       1.98733       0.00000       0.00000       0.00000    
  0.758542E-02  -37.5733       1.89461       3.78964       1.89461       3.78964       0.00000       0.00000       5.68425       1.89461       1.89470       1.89494       0.00000       0.00000       0.00000    
  0.831724E-02  -35.7819       1.80957       3.61961       1.80957       3.61961       0.00000       0.00000       5.42918       1.80957       1.80967       1.80994       0.00000       0.00000       0.00000    
  0.911966E-02  -34.1070       1.72953       3.45957       1.72953       3.45957       0.00000       0.00000       5.18910       1.72953       1.72964       1.72993       0.00000       0.00000       0.00000    
  0.999950E-02  -32.6396       1.66552       3.33163       1.66552       3.33163       0.00000       0.00000       4.99716       1.66552       1.66566       1.66597       0.00000       0.00000       0.00000    
  0.109642E-01  -31.2996       1.60064       3.20192       1.60064       3.20192       0.00000       0.00000       4.80256       1.60064       1.60079       1.60113       0.00000       0.00000       0.00000    
  0.120220E-01  -30.1709       1.53760       3.07592       1.53760       3.07592       0.00000       0.00000       4.61352       1.53760       1.53778       1.53814       0.00000       0.00000       0.00000    
  0.131819E-01  -29.1951       1.47935       2.95949       1.47935       2.95949       0.00000       0.00000       4.43884       1.47935       1.47954       1.47994       0.00000       0.00000       0.00000    
  0.144536E-01  -28.3619       1.42542       2.85169       1.42542       2.85169       0.00000       0.00000       4.27711       1.42542       1.42563       1.42606       0.00000       0.00000       0.00000    
  0.158481E-01  -27.6539       1.37513       2.75120       1.37513       2.75120       0.00000       0.00000       4.12633       1.37513       1.37537       1.37583       0.00000       0.00000       0.00000    
  0.173770E-01  -27.0652       1.32817       2.65737       1.32817       2.65737       0.00000       0.00000       3.98555       1.32817       1.32844       1.32894       0.00000       0.00000       0.00000    
  0.190535E-01  -26.6009       1.28449       2.57011       1.28449       2.57011       0.00000       0.00000       3.85461       1.28449       1.28479       1.28532       0.00000       0.00000       0.00000    
  0.208917E-01  -26.2524       1.24366       2.48854       1.24366       2.48854       0.00000       0.00000       3.73220       1.24366       1.24398       1.24456       0.00000       0.00000       0.00000    
  0.229073E-01  -26.0074       1.20515       2.41165       1.20515       2.41165       0.00000       0.00000       3.61680       1.20515       1.20552       1.20613       0.00000       0.00000       0.00000    
  0.251174E-01  -25.8623       1.16869       2.33884       1.16869       2.33884       0.00000       0.00000       3.50753       1.16869       1.16910       1.16975       0.00000       0.00000       0.00000    
  0.275406E-01  -25.8233       1.13412       2.26984       1.13412       2.26984       0.00000       0.00000       3.40396       1.13412       1.13457       1.13526       0.00000       0.00000       0.00000    
  0.301976E-01  -25.8834       1.10104       2.20381       1.10104       2.20381       0.00000       0.00000       3.30485       1.10104       1.10154       1.10227       0.00000       0.00000       0.00000    
  0.331110E-01  -26.0341       1.06904       2.13996       1.06904       2.13996       0.00000       0.00000       3.20900       1.06904       1.06960       1.07036       0.00000       0.00000       0.00000    
  0.363055E-01  -26.2735       1.03783       2.07770       1.03783       2.07770       0.00000       0.00000       3.11553       1.03783       1.03845       1.03925       0.00000       0.00000       0.00000    
  0.398081E-01  -26.6092       1.00714       2.01650       1.00714       2.01650       0.00000       0.00000       3.02364       1.00714       1.00784       1.00866       0.00000       0.00000       0.00000    
  0.436487E-01  -27.0354      0.976599       1.95560      0.976599       1.95560       0.00000       0.00000       2.93220      0.976599      0.977376      0.978224       0.00000       0.00000       0.00000    
  0.478598E-01  -27.5458      0.945886       1.89437      0.945886       1.89437       0.00000       0.00000       2.84025      0.945886      0.946752      0.947616       0.00000       0.00000       0.00000    
  0.524772E-01  -28.1398      0.914711       1.83222      0.914711       1.83222       0.00000       0.00000       2.74693      0.914711      0.915677      0.916545       0.00000       0.00000       0.00000    
  0.575400E-01  -28.8261      0.882666       1.76835      0.882666       1.76835       0.00000       0.00000       2.65101      0.882666      0.883744      0.884603       0.00000       0.00000       0.00000    
  0.630913E-01  -29.5987      0.849475       1.70219      0.849475       1.70219       0.00000       0.00000       2.55166      0.849475      0.850678      0.851510       0.00000       0.00000       0.00000    
  0.691782E-01  -30.4529      0.814918       1.63330      0.814918       1.63330       0.00000       0.00000       2.44822      0.814918      0.816259      0.817043       0.00000       0.00000       0.00000    
  0.758523E-01  -31.3884      0.778752       1.56120      0.778752       1.56120       0.00000       0.00000       2.33996      0.778752      0.780248      0.780957       0.00000       0.00000       0.00000    
  0.831703E-01  -32.4149      0.740514       1.48496      0.740514       1.48496       0.00000       0.00000       2.22548      0.740514      0.742183      0.742780       0.00000       0.00000       0.00000    
  0.911943E-01  -33.5266      0.700131       1.40443      0.700131       1.40443       0.00000       0.00000       2.10456      0.700131      0.701993      0.702437       0.00000       0.00000       0.00000    
