   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -382.548       11.5835       22.5128       11.5835       22.5128       0.00000       0.00000       34.0963       11.5835       11.5834       10.9294       0.00000       0.00000       0.00000    
  0.109648E-03  -359.634       10.9364       21.2429       10.9364       21.2429       0.00000       0.00000       32.1793       10.9364       10.9363       10.3066       0.00000       0.00000       0.00000    
  0.120226E-03  -338.878       10.3469       20.0867       10.3469       20.0867       0.00000       0.00000       30.4336       10.3469       10.3468       9.73989       0.00000       0.00000       0.00000    
  0.131825E-03  -318.933       9.77907       18.9733       9.77907       18.9733       0.00000       0.00000       28.7523       9.77907       9.77893       9.19434       0.00000       0.00000       0.00000    
  0.144543E-03  -300.149       9.24223       17.9211       9.24223       17.9211       0.00000       0.00000       27.1634       9.24223       9.24209       8.67904       0.00000       0.00000       0.00000    
  0.158489E-03  -282.817       8.74435       16.9459       8.74435       16.9459       0.00000       0.00000       25.6902       8.74435       8.74419       8.20167       0.00000       0.00000       0.00000    
  0.173779E-03  -266.169       8.26479       16.0068       8.26479       16.0068       0.00000       0.00000       24.2716       8.26479       8.26463       7.74213       0.00000       0.00000       0.00000    
  0.190545E-03  -250.784       7.81923       15.1347       7.81923       15.1347       0.00000       0.00000       22.9540       7.81923       7.81906       7.31568       0.00000       0.00000       0.00000    
  0.208928E-03  -236.307       7.39814       14.3110       7.39814       14.3110       0.00000       0.00000       21.7091       7.39814       7.39796       6.91301       0.00000       0.00000       0.00000    
  0.229085E-03  -222.417       6.99287       13.5184       6.99287       13.5184       0.00000       0.00000       20.5112       6.99287       6.99267       6.52571       0.00000       0.00000       0.00000    
  0.251186E-03  -209.819       6.62257       12.7947       6.62257       12.7947       0.00000       0.00000       19.4173       6.62257       6.62236       6.17236       0.00000       0.00000       0.00000    
  0.275420E-03  -197.732       6.26615       12.0984       6.26615       12.0984       0.00000       0.00000       18.3646       6.26615       6.26593       5.83248       0.00000       0.00000       0.00000    
  0.301992E-03  -186.331       5.92839       11.4388       5.92839       11.4388       0.00000       0.00000       17.3672       5.92839       5.92816       5.51068       0.00000       0.00000       0.00000    
  0.331127E-03  -175.830       5.61513       10.8275       5.61513       10.8275       0.00000       0.00000       16.4427       5.61513       5.61489       5.21263       0.00000       0.00000       0.00000    
  0.363073E-03  -165.741       5.31316       10.2384       5.31316       10.2384       0.00000       0.00000       15.5516       5.31316       5.31291       4.92550       0.00000       0.00000       0.00000    
  0.398101E-03  -156.404       5.03178       9.68980       5.03178       9.68980       0.00000       0.00000       14.7216       5.03178       5.03151       4.65829       0.00000       0.00000       0.00000    
  0.436509E-03  -147.630       4.76590       9.17168       4.76590       9.17168       0.00000       0.00000       13.9376       4.76590       4.76562       4.40606       0.00000       0.00000       0.00000    
  0.478622E-03  -139.210       4.50977       8.67271       4.50977       8.67271       0.00000       0.00000       13.1825       4.50977       4.50947       4.16324       0.00000       0.00000       0.00000    
  0.524798E-03  -131.559       4.27492       8.21557       4.27492       8.21557       0.00000       0.00000       12.4905       4.27492       4.27460       3.94097       0.00000       0.00000       0.00000    
  0.575429E-03  -124.228       4.04898       7.77591       4.04898       7.77591       0.00000       0.00000       11.8249       4.04898       4.04864       3.72727       0.00000       0.00000       0.00000    
  0.630945E-03  -117.301       3.83426       7.35831       3.83426       7.35831       0.00000       0.00000       11.1926       3.83426       3.83391       3.52440       0.00000       0.00000       0.00000    
  0.691816E-03  -110.925       3.63502       6.97106       3.63502       6.97106       0.00000       0.00000       10.6061       3.63502       3.63464       3.33642       0.00000       0.00000       0.00000    
  0.758561E-03  -104.797       3.44274       6.59748       3.44274       6.59748       0.00000       0.00000       10.0402       3.44274       3.44234       3.15513       0.00000       0.00000       0.00000    
