   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  -3313.70       58.1235       116.247       58.1235       116.247       0.00000       0.00000       174.370       58.1235       58.1235       58.1235       0.00000       0.00000       0.00000    
  0.109648E-03  -3043.95       53.3468       106.694       53.3468       106.694       0.00000       0.00000       160.040       53.3468       53.3468       53.3468       0.00000       0.00000       0.00000    
  0.120226E-03  -2807.40       49.1591       98.3182       49.1591       98.3182       0.00000       0.00000       147.477       49.1591       49.1591       49.1591       0.00000       0.00000       0.00000    
  0.131825E-03  -2582.91       45.1854       90.3708       45.1854       90.3708       0.00000       0.00000       135.556       45.1854       45.1854       45.1854       0.00000       0.00000       0.00000    
  0.144543E-03  -2375.68       41.5180       83.0360       41.5180       83.0360       0.00000       0.00000       124.554       41.5180       41.5180       41.5180       0.00000       0.00000       0.00000    
  0.158489E-03  -2189.38       38.2218       76.4435       38.2218       76.4435       0.00000       0.00000       114.665       38.2218       38.2218       38.2217       0.00000       0.00000       0.00000    
  0.173779E-03  -2012.75       35.0969       70.1939       35.0969       70.1939       0.00000       0.00000       105.291       35.0969       35.0970       35.0969       0.00000       0.00000       0.00000    
  0.190545E-03  -1853.73       32.2846       64.5692       32.2846       64.5692       0.00000       0.00000       96.8538       32.2846       32.2846       32.2846       0.00000       0.00000       0.00000    
  0.208928E-03  -1706.97       29.6893       59.3786       29.6893       59.3786       0.00000       0.00000       89.0678       29.6893       29.6893       29.6893       0.00000       0.00000       0.00000    
  0.229085E-03  -1568.09       27.2339       54.4678       27.2339       54.4678       0.00000       0.00000       81.7017       27.2339       27.2339       27.2339       0.00000       0.00000       0.00000    
  0.251186E-03  -1446.10       25.0777       50.1554       25.0777       50.1554       0.00000       0.00000       75.2330       25.0777       25.0777       25.0777       0.00000       0.00000       0.00000    
  0.275420E-03  -1330.56       23.0359       46.0719       23.0359       46.0719       0.00000       0.00000       69.1078       23.0359       23.0359       23.0359       0.00000       0.00000       0.00000    
  0.301992E-03  -1223.71       21.1481       42.2961       21.1481       42.2961       0.00000       0.00000       63.4441       21.1481       21.1481       21.1480       0.00000       0.00000       0.00000    
  0.331127E-03  -1127.87       19.4551       38.9103       19.4551       38.9103       0.00000       0.00000       58.3654       19.4551       19.4552       19.4551       0.00000       0.00000       0.00000    
  0.363073E-03  -1037.00       17.8502       35.7003       17.8502       35.7003       0.00000       0.00000       53.5505       17.8502       17.8502       17.8501       0.00000       0.00000       0.00000    
  0.398101E-03  -955.041       16.4031       32.8062       16.4031       32.8062       0.00000       0.00000       49.2093       16.4031       16.4031       16.4031       0.00000       0.00000       0.00000    
  0.436509E-03  -879.558       15.0707       30.1413       15.0707       30.1413       0.00000       0.00000       45.2119       15.0707       15.0707       15.0706       0.00000       0.00000       0.00000    
  0.478622E-03  -808.129       13.8100       27.6199       13.8100       27.6199       0.00000       0.00000       41.4299       13.8100       13.8100       13.8099       0.00000       0.00000       0.00000    
