   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03  0.187572E-01  0.890359E-01  0.153176      0.890359E-01  0.153176       0.00000       0.00000      0.242212      0.890359E-01  0.890249E-01  0.641512E-01   0.00000       0.00000       0.00000    
  0.109648E-03  -.715121E-02  0.898279E-01  0.154547      0.898279E-01  0.154547       0.00000       0.00000      0.244375      0.898279E-01  0.898157E-01  0.647313E-01   0.00000       0.00000       0.00000    
  0.120226E-03  -.334536E-01  0.906304E-01  0.155935      0.906304E-01  0.155935       0.00000       0.00000      0.246566      0.906304E-01  0.906167E-01  0.653187E-01   0.00000       0.00000       0.00000    
  0.131825E-03  -.599214E-01  0.914371E-01  0.157331      0.914371E-01  0.157331       0.00000       0.00000      0.248768      0.914371E-01  0.914219E-01  0.659092E-01   0.00000       0.00000       0.00000    
  0.144543E-03  -.866260E-01  0.922502E-01  0.158737      0.922502E-01  0.158737       0.00000       0.00000      0.250988      0.922502E-01  0.922332E-01  0.665042E-01   0.00000       0.00000       0.00000    
  0.158489E-03  -.113662      0.930721E-01  0.160159      0.930721E-01  0.160159       0.00000       0.00000      0.253231      0.930721E-01  0.930531E-01  0.671055E-01   0.00000       0.00000       0.00000    
  0.173779E-03  -.140864      0.938984E-01  0.161587      0.938984E-01  0.161587       0.00000       0.00000      0.255486      0.938984E-01  0.938773E-01  0.677098E-01   0.00000       0.00000       0.00000    
  0.190545E-03  -.168389      0.947334E-01  0.163030      0.947334E-01  0.163030       0.00000       0.00000      0.257764      0.947334E-01  0.947098E-01  0.683203E-01   0.00000       0.00000       0.00000    
  0.208928E-03  -.196175      0.955754E-01  0.164485      0.955754E-01  0.164485       0.00000       0.00000      0.260060      0.955754E-01  0.955491E-01  0.689357E-01   0.00000       0.00000       0.00000    
  0.229085E-03  -.224129      0.964219E-01  0.165947      0.964219E-01  0.165947       0.00000       0.00000      0.262369      0.964219E-01  0.963926E-01  0.695542E-01   0.00000       0.00000       0.00000    
  0.251186E-03  -.252498      0.972796E-01  0.167428      0.972796E-01  0.167428       0.00000       0.00000      0.264707      0.972796E-01  0.972469E-01  0.701807E-01   0.00000       0.00000       0.00000    
  0.275420E-03  -.281052      0.981423E-01  0.168917      0.981423E-01  0.168917       0.00000       0.00000      0.267059      0.981423E-01  0.981059E-01  0.708106E-01   0.00000       0.00000       0.00000    
  0.301992E-03  -.309854      0.990118E-01  0.170416      0.990118E-01  0.170416       0.00000       0.00000      0.269428      0.990118E-01  0.989713E-01  0.714452E-01   0.00000       0.00000       0.00000    
  0.331127E-03  -.339020      0.998912E-01  0.171933      0.998912E-01  0.171933       0.00000       0.00000      0.271824      0.998912E-01  0.998460E-01  0.720867E-01   0.00000       0.00000       0.00000    
  0.363073E-03  -.368365      0.100775      0.173457      0.100775      0.173457       0.00000       0.00000      0.274232      0.100775      0.100725      0.727315E-01   0.00000       0.00000       0.00000    
  0.398101E-03  -.398053      0.101669      0.174996      0.101669      0.174996       0.00000       0.00000      0.276665      0.101669      0.101613      0.733829E-01   0.00000       0.00000       0.00000    
  0.436509E-03  -.428031      0.102571      0.176548      0.102571      0.176548       0.00000       0.00000      0.279119      0.102571      0.102508      0.740396E-01   0.00000       0.00000       0.00000    
  0.478622E-03  -.458194      0.103477      0.178108      0.103477      0.178108       0.00000       0.00000      0.281585      0.103477      0.103408      0.746998E-01   0.00000       0.00000       0.00000    
  0.524798E-03  -.488803      0.104396      0.179687      0.104396      0.179687       0.00000       0.00000      0.284084      0.104396      0.104319      0.753684E-01   0.00000       0.00000       0.00000    
