   1.89999998             101          14   9.99999975E-05  0.999899983    
            x          g             U             D          Ubar          Dbar         u_val         d_val           sea         u_sea         d_sea           str           chm           bot               ph 
  0.100000E-03   976.157      -11.2124      -22.4557      -11.2124      -22.4557       0.00000       0.00000      -33.6682      -11.2124      -11.2124      -11.2433       0.00000       0.00000       0.00000    
  0.109648E-03   852.769      -9.67529      -19.3819      -9.67529      -19.3819       0.00000       0.00000      -29.0572      -9.67529      -9.67528      -9.70659       0.00000       0.00000       0.00000    
  0.120226E-03   750.119      -8.41643      -16.8646      -8.41643      -16.8646       0.00000       0.00000      -25.2810      -8.41643      -8.41642      -8.44819       0.00000       0.00000       0.00000    
  0.131825E-03   654.725      -7.25388      -14.5400      -7.25388      -14.5400       0.00000       0.00000      -21.7939      -7.25388      -7.25387      -7.28610       0.00000       0.00000       0.00000    
  0.144543E-03   569.719      -6.22924      -12.4911      -6.22924      -12.4911       0.00000       0.00000      -18.7204      -6.22924      -6.22922      -6.26192       0.00000       0.00000       0.00000    
  0.158489E-03   496.813      -5.36337      -10.7599      -5.36337      -10.7599       0.00000       0.00000      -16.1233      -5.36337      -5.36335      -5.39654       0.00000       0.00000       0.00000    
  0.173779E-03   429.383      -4.56890      -9.17143      -4.56890      -9.17143       0.00000       0.00000      -13.7403      -4.56890      -4.56888      -4.60255       0.00000       0.00000       0.00000    
  0.190545E-03   371.732      -3.90111      -7.83634      -3.90111      -7.83634       0.00000       0.00000      -11.7375      -3.90111      -3.90109      -3.93525       0.00000       0.00000       0.00000    
  0.208928E-03   320.584      -3.31642      -6.66744      -3.31642      -6.66744       0.00000       0.00000      -9.98386      -3.31642      -3.31639      -3.35105       0.00000       0.00000       0.00000    
  0.229085E-03   273.622      -2.78514      -5.60540      -2.78514      -5.60540       0.00000       0.00000      -8.39054      -2.78514      -2.78512      -2.82028       0.00000       0.00000       0.00000    
  0.251186E-03   235.229      -2.36166      -4.75895      -2.36166      -4.75895       0.00000       0.00000      -7.12061      -2.36166      -2.36163      -2.39732       0.00000       0.00000       0.00000    
  0.275420E-03   199.963      -1.97684      -3.98981      -1.97684      -3.98981       0.00000       0.00000      -5.96665      -1.97684      -1.97681      -2.01301       0.00000       0.00000       0.00000    
  0.301992E-03   168.899      -1.64397      -3.32460      -1.64397      -3.32460       0.00000       0.00000      -4.96857      -1.64397      -1.64393      -1.68066       0.00000       0.00000       0.00000    
  0.331127E-03   142.898      -1.37251      -2.78222      -1.37251      -2.78222       0.00000       0.00000      -4.15473      -1.37251      -1.37248      -1.40975       0.00000       0.00000       0.00000    
  0.363073E-03   119.117      -1.12766      -2.29306      -1.12766      -2.29306       0.00000       0.00000      -3.42072      -1.12766      -1.12762      -1.16544       0.00000       0.00000       0.00000    
  0.398101E-03   99.2246      -.928945      -1.89618      -.928945      -1.89618       0.00000       0.00000      -2.82513      -.928945      -.928910      -.967274       0.00000       0.00000       0.00000    
  0.436509E-03   81.9980      -.761097      -1.56105      -.761097      -1.56105       0.00000       0.00000      -2.32214      -.761097      -.761061      -.799986       0.00000       0.00000       0.00000    
  0.478622E-03   66.4329      -.612439      -1.26430      -.612439      -1.26430       0.00000       0.00000      -1.87674      -.612439      -.612403      -.651894       0.00000       0.00000       0.00000    
  0.524798E-03   54.1897      -.501155      -1.04231      -.501155      -1.04231       0.00000       0.00000      -1.54346      -.501155      -.501119      -.541189       0.00000       0.00000       0.00000    
  0.575429E-03   43.2002      -.403515      -.847611      -.403515      -.847611       0.00000       0.00000      -1.25113      -.403515      -.403478      -.444133       0.00000       0.00000       0.00000    
  0.630945E-03   33.7933      -.323099      -.687372      -.323099      -.687372       0.00000       0.00000      -1.01047      -.323099      -.323062      -.364310       0.00000       0.00000       0.00000    
  0.691816E-03   26.3433      -.263161      -.568100      -.263161      -.568100       0.00000       0.00000      -.831261      -.263161      -.263125      -.304976       0.00000       0.00000       0.00000    
  0.758561E-03   19.7184      -.211631      -.465653      -.211631      -.465653       0.00000       0.00000      -.677284      -.211631      -.211596      -.254057       0.00000       0.00000       0.00000    
  0.831745E-03   14.5065      -.174206      -.391425      -.174206      -.391425       0.00000       0.00000      -.565630      -.174206      -.174172      -.217253       0.00000       0.00000       0.00000    
  0.911989E-03   10.2808      -.146067      -.335783      -.146067      -.335783       0.00000       0.00000      -.481851      -.146067      -.146037      -.189747       0.00000       0.00000       0.00000    
  0.999975E-03   6.64887      -.123479      -.291247      -.123479      -.291247       0.00000       0.00000      -.414726      -.123479      -.123451      -.167796       0.00000       0.00000       0.00000    
  0.109645E-02   4.16114      -.110902      -.266753      -.110902      -.266753       0.00000       0.00000      -.377655      -.110902      -.110879      -.155873       0.00000       0.00000       0.00000    
  0.120223E-02   2.11086      -.101802      -.249218      -.101802      -.249218       0.00000       0.00000      -.351020      -.101802      -.101785      -.147434       0.00000       0.00000       0.00000    
  0.131822E-02  0.579561      -.968245E-01  -.239942      -.968245E-01  -.239942       0.00000       0.00000      -.336766      -.968245E-01  -.968146E-01  -.143127       0.00000       0.00000       0.00000    
  0.144540E-02  -.309774      -.963094E-01  -.239607      -.963094E-01  -.239607       0.00000       0.00000      -.335916      -.963094E-01  -.963092E-01  -.143298       0.00000       0.00000       0.00000    
  0.158485E-02  -.944257      -.973748E-01  -.242442      -.973748E-01  -.242442       0.00000       0.00000      -.339816      -.973748E-01  -.973856E-01  -.145056       0.00000       0.00000       0.00000    
  0.173775E-02  -1.15748      -.100835      -.250082      -.100835      -.250082       0.00000       0.00000      -.350917      -.100835      -.100859      -.149223       0.00000       0.00000       0.00000    
  0.190540E-02  -1.08515      -.105438      -.260026      -.105438      -.260026       0.00000       0.00000      -.365464      -.105438      -.105480      -.154546       0.00000       0.00000       0.00000    
  0.208923E-02  -.848387      -.110649      -.271195      -.110649      -.271195       0.00000       0.00000      -.381844      -.110649      -.110710      -.160485       0.00000       0.00000       0.00000    
  0.229079E-02  -.322957      -.116336      -.283341      -.116336      -.283341       0.00000       0.00000      -.399677      -.116336      -.116421      -.166920       0.00000       0.00000       0.00000    
  0.251180E-02  0.303435      -.121825      -.295105      -.121825      -.295105       0.00000       0.00000      -.416930      -.121825      -.121938      -.173167       0.00000       0.00000       0.00000    
  0.275413E-02   1.04243      -.127093      -.306444      -.127093      -.306444       0.00000       0.00000      -.433537      -.127093      -.127239      -.179206       0.00000       0.00000       0.00000    
  0.301984E-02   1.89937      -.131380      -.315850      -.131380      -.315850       0.00000       0.00000      -.447230      -.131380      -.131566      -.184284       0.00000       0.00000       0.00000    
  0.331118E-02   2.79272      -.135071      -.324081      -.135071      -.324081       0.00000       0.00000      -.459152      -.135071      -.135303      -.188778       0.00000       0.00000       0.00000    
  0.363064E-02   3.73698      -.137584      -.329981      -.137584      -.329981       0.00000       0.00000      -.467565      -.137584      -.137869      -.192112       0.00000       0.00000       0.00000    
  0.398091E-02   4.69411      -.138737      -.333191      -.138737      -.333191       0.00000       0.00000      -.471928      -.138737      -.139086      -.194105       0.00000       0.00000       0.00000    
  0.436498E-02   5.65531      -.139066      -.334772      -.139066      -.334772       0.00000       0.00000      -.473838      -.139066      -.139485      -.195287       0.00000       0.00000       0.00000    
  0.478610E-02   6.59575      -.137360      -.332328      -.137360      -.332328       0.00000       0.00000      -.469687      -.137360      -.137865      -.194462       0.00000       0.00000       0.00000    
  0.524785E-02   7.50895      -.134506      -.327617      -.134506      -.327617       0.00000       0.00000      -.462123      -.134506      -.135109      -.192508       0.00000       0.00000       0.00000    
  0.575415E-02   8.39358      -.130450      -.320530      -.130450      -.320530       0.00000       0.00000      -.450980      -.130450      -.131162      -.189368       0.00000       0.00000       0.00000    
  0.630929E-02   9.20516      -.124265      -.309248      -.124265      -.309248       0.00000       0.00000      -.433513      -.124265      -.125112      -.184136       0.00000       0.00000       0.00000    
  0.691799E-02   9.97768      -.117129      -.296092      -.117129      -.296092       0.00000       0.00000      -.413220      -.117129      -.118123      -.177969       0.00000       0.00000       0.00000    
  0.758542E-02   10.6779      -.108332      -.279671      -.108332      -.279671       0.00000       0.00000      -.388003      -.108332      -.109498      -.170173       0.00000       0.00000       0.00000    
  0.831724E-02   11.2958      -.979621E-01  -.260168      -.979621E-01  -.260168       0.00000       0.00000      -.358130      -.979621E-01  -.993294E-01  -.160839       0.00000       0.00000       0.00000    
  0.911966E-02   11.8631      -.866934E-01  -.238906      -.866934E-01  -.238906       0.00000       0.00000      -.325600      -.866934E-01  -.882799E-01  -.150626       0.00000       0.00000       0.00000    
  0.999950E-02   12.2969      -.734932E-01  -.213875      -.734932E-01  -.213875       0.00000       0.00000      -.287368      -.734932E-01  -.753431E-01  -.138532       0.00000       0.00000       0.00000    
  0.109642E-01   12.6883      -.595795E-01  -.187466      -.595795E-01  -.187466       0.00000       0.00000      -.247046      -.595795E-01  -.617171E-01  -.125749       0.00000       0.00000       0.00000    
